url,file,title,meta_description,h1,h1_count,canonical,page_cluster,schema_types
/about,about.html,About TutorServices | Trusted Tuition Support in India,"Learn about TutorServices, founded by Meenakshi Sharma, and our mission to connect students and parents with verified tutors across India today.",tutorservices helps India learn with confidence.,1,https://www.tutorservices.in/about,General service / commercial,
/academic-coaching,academic-coaching.html,Academic Coaching for Class 1 to 12 | TutorServices,"Find structured academic coaching for Class 1 to 12 with personalised study plans, concept support, progress tracking and better learning habits.","Academic Coaching for Stronger Learning, Better Habits and Long-Term Success",1,https://www.tutorservices.in/academic-coaching,General service / commercial,
/benefits-of-home-tuition,benefits-of-home-tuition.html,Benefits of Home Tuition for Students | TutorServices,"Learn how home tuition gives students personal attention, flexible lessons, faster doubt resolution, stronger concepts and focused exam support.",Benefits of Home Tuition for Students,1,https://www.tutorservices.in/benefits-of-home-tuition,Home tuition,
/best-home-tuition-services-india,best-home-tuition-services-india.html,How to Choose Home Tuition Services in India | Parent Guide,"Learn how to compare home tuition services, evaluate tutor experience, use demo classes and choose suitable academic support for your child.",Best Home Tuition Services in India: A Complete Guide for Parents and Students,1,https://www.tutorservices.in/best-home-tuition-services-india,Home tuition,
/blog,blog.html,"Education Blog | Tuition, Study & Exam Guides India","Read practical educational articles about home tuition, online learning, board exams, spoken English, study skills and choosing the right tutor.","Helpful tuition guides for parents, students and tutors.",1,https://www.tutorservices.in/blog,Blog / informational,
/boards/cbse-tuition,boards/cbse-tuition.html,CBSE Tuition in India | Home & Online Tutors | TutorServices,"Find CBSE tuition in India with experienced home and online tutors for Classes 1–12, NCERT learning, subject support and board exam preparation.",CBSE Tuition in India for Strong Concepts and Exam Readiness,1,https://www.tutorservices.in/boards/cbse-tuition,Board tuition,
/boards/class-10-board-tuition,boards/class-10-board-tuition.html,Class 10 Board Tuition | Expert Tutors | TutorServices,"Find Class 10 board tuition with personalised home or online tutors for Maths, Science, English and exam preparation across CBSE, ICSE and State Boards.",Class 10 Board Tuition for Stronger Preparation and Confidence,1,https://www.tutorservices.in/boards/class-10-board-tuition,Classes 1-12 tuition,
/boards/class-12-board-tuition,boards/class-12-board-tuition.html,Class 12 Board Tuition | Expert Tutors | TutorServices,"Find Class 12 board tuition with expert home or online tutors for Science, Commerce and Humanities, board exams, mock tests and university readiness.",Class 12 Board Tuition for Exam Success and University Readiness,1,https://www.tutorservices.in/boards/class-12-board-tuition,Classes 1-12 tuition,
/boards/icse-tuition,boards/icse-tuition.html,ICSE Tuition in India | Home & Online Tutors | TutorServices,"Find ICSE tuition in India with experienced home and online tutors for Classes 1–12, detailed subject learning, language skills and board preparation.",ICSE Tuition in India for Deeper Learning and Confident Expression,1,https://www.tutorservices.in/boards/icse-tuition,Board tuition,
/boards/state-board-tuition,boards/state-board-tuition.html,State Board Tuition in India | Expert Tutors | TutorServices,"Find State Board tuition in India with home and online tutors familiar with regional syllabi, language preferences, school subjects and board exams.",State Board Tuition in India Aligned with Your Exact Syllabus,1,https://www.tutorservices.in/boards/state-board-tuition,Board tuition,
/boards,boards.html,"Board Tuition in India | CBSE, ICSE, IGCSE, IB & NIOS Tutors","Find board tuition in India for CBSE, ICSE, IGCSE, IB, NIOS and State Boards with personalised home or online tutor support for school students.",Board Tuition in India for Focused Learning and Exam Preparation,1,https://www.tutorservices.in/boards,Board tuition,
/cities/delhi/connaught-place-home-tuition,cities/delhi/connaught-place-home-tuition.html,Home Tuition in Connaught Place | Verified Tutors Delhi,"Find verified home tutors in Connaught Place and Central Delhi for Classes 1–12, subjects, boards and exams with flexible online alternatives.",Home Tuition in Connaught Place for Students and Lifelong Learners,1,https://www.tutorservices.in/cities/delhi/connaught-place-home-tuition,Location SEO,
/cities/delhi/dwarka-home-tuition,cities/delhi/dwarka-home-tuition.html,Verified Home Tuition in Dwarka | TutorServices India,"Find verified home tutors in Dwarka for Classes 1–12, boards, subjects and exams through sector-aware matching with flexible online options.",Home Tuition in Dwarka for Personalised School and Exam Learning,1,https://www.tutorservices.in/cities/delhi/dwarka-home-tuition,Location SEO,
/cities/delhi/rohini-home-tuition,cities/delhi/rohini-home-tuition.html,Verified Home Tuition in Rohini | TutorServices India,"Find verified home tutors in Rohini for Classes 1–12, boards, subjects and exams through personalised matching with flexible online options.",Home Tuition in Rohini for Stronger Concepts and Study Habits,1,https://www.tutorservices.in/cities/delhi/rohini-home-tuition,Location SEO,
/cities/delhi/south-delhi-home-tuition,cities/delhi/south-delhi-home-tuition.html,Verified Home Tuition in South Delhi | TutorServices India,"Find verified home tutors in South Delhi for Classes 1–12, boards, subjects and exams through personalised matching and flexible online options.","Home Tuition in South Delhi for Focused, Flexible Learning",1,https://www.tutorservices.in/cities/delhi/south-delhi-home-tuition,Location SEO,
/cities/delhi,cities/delhi.html,Home Tuition in Delhi with Verified Tutors | TutorServices,"Find personalised home tuition in Delhi for school subjects, boards and exams through verified TutorServices tutors, with online options available.","Home Tuition in Delhi for Every Class, Board and Learning Goal",1,https://www.tutorservices.in/cities/delhi,Location SEO,
/cities,cities.html,Home Tuition Locations and Verified Tutors | TutorServices,"Explore TutorServices home tuition locations, Delhi tutor availability and personalised online tuition options for students throughout India today.",Home Tuition Locations for Personalised Tutor Support,1,https://www.tutorservices.in/cities,Location SEO,
/class-10-board-exam-preparation,class-10-board-exam-preparation.html,Class 10 Board Exam Preparation Plan | TutorServices,"Follow a practical Class 10 board exam plan covering syllabus mapping, weekly targets, revision cycles, answer writing and sample-paper practice.",Class 10 Board Exam Preparation Plan,1,https://www.tutorservices.in/class-10-board-exam-preparation,Classes 1-12 tuition,
/classes/class-1-to-5-tuition,classes/class-1-to-5-tuition.html,Tuition for Class 1 to 5 | Primary Tutors | TutorServices,"Find tuition for Class 1 to 5 with child-friendly home or online tutors for primary Maths, English, EVS, Hindi, homework and strong learning habits.","Tuition for Class 1 to 5 That Builds Skills, Curiosity and Confidence",1,https://www.tutorservices.in/classes/class-1-to-5-tuition,Classes 1-12 tuition,
/classes/class-10-tuition,classes/class-10-tuition.html,Class 10 Tuition | Expert Home & Online Tutors India,"Find Class 10 tuition with verified home or online tutors for complete academic support, concept clarity, revision and confident board-year progress.","Class 10 Tuition for Concept Mastery, Consistent Revision and Board Exam Confidence",1,https://www.tutorservices.in/classes/class-10-tuition,Classes 1-12 tuition,
/classes/class-11-tuition,classes/class-11-tuition.html,Class 11 Tuition | Stream-Specific Tutors in India,"Find Class 11 tuition with verified home or online tutors for Science, Commerce and Humanities subjects, concept building and senior-secondary success.","Class 11 Tuition for Stream-Specific Learning, Deeper Concepts and Future Readiness",1,https://www.tutorservices.in/classes/class-11-tuition,Classes 1-12 tuition,
/classes/class-12-tuition,classes/class-12-tuition.html,Class 12 Tuition | Board & Entrance Exam Support India,"Find Class 12 tuition with verified home or online tutors for Science, Commerce and Humanities, board success, admissions and entrance preparation.","Class 12 Tuition for Academic Excellence, Board Confidence and Higher-Education Goals",1,https://www.tutorservices.in/classes/class-12-tuition,Classes 1-12 tuition,
/classes/class-6-to-8-tuition,classes/class-6-to-8-tuition.html,Tuition for Class 6 to 8 | Middle School Tutors India,"Find tuition for Class 6 to 8 with verified home or online tutors for Maths, Science, English and concept-focused middle-school learning across India.","Tuition for Class 6 to 8 That Builds Clarity, Confidence and Independent Thinking",1,https://www.tutorservices.in/classes/class-6-to-8-tuition,Classes 1-12 tuition,
/classes/class-9-tuition,classes/class-9-tuition.html,Class 9 Tuition | Expert Home & Online Tutors India,"Find Class 9 tuition with verified home or online tutors for Maths, Science, English and board-aligned concept preparation before the Class 10 year.","Class 9 Tuition for Stronger Concepts, Better Performance and Class 10 Readiness",1,https://www.tutorservices.in/classes/class-9-tuition,Classes 1-12 tuition,
/classes,classes.html,Tuition for Class 1 to 12 in India | TutorServices,"Find tuition for Class 1 to 12 in India with personalised home or online tutors matched by class, board, subjects, learning stage and academic goals.","Tuition for Class 1 to 12 in India, Matched to Every Learning Stage",1,https://www.tutorservices.in/classes,Classes 1-12 tuition,
/competitive-exams/cuet-preparation,competitive-exams/cuet-preparation.html,CUET Preparation Classes and Tutors | TutorServices,"Prepare for CUET with personalised subject support, concept revision, practice questions, mock tests and study planning through verified TutorServices tutors.",CUET Preparation Classes Built Around Your University Goals,1,https://www.tutorservices.in/competitive-exams/cuet-preparation,Exam preparation,
/competitive-exams/jee-foundation,competitive-exams/jee-foundation.html,JEE Foundation Classes for Students | TutorServices,"Build strong Maths, Physics and Chemistry concepts with personalised JEE Foundation classes for Class 8, 9 and 10 students through verified tutors.",JEE Foundation Classes for Stronger Maths and Science Thinking,1,https://www.tutorservices.in/competitive-exams/jee-foundation,Exam preparation,
/competitive-exams/neet-foundation,competitive-exams/neet-foundation.html,NEET Foundation Classes for Students | TutorServices,"Build strong Biology, Physics and Chemistry concepts with personalised NEET Foundation classes for Class 8, 9 and 10 students through verified tutors.",NEET Foundation Classes for Stronger Biology and Science Concepts,1,https://www.tutorservices.in/competitive-exams/neet-foundation,Exam preparation,
/competitive-exams/olympiad-preparation,competitive-exams/olympiad-preparation.html,Olympiad Preparation Classes for Students | TutorServices,"Build deeper Maths, Science, English and reasoning skills with personalised Olympiad preparation classes, structured practice and verified tutors.",Olympiad Preparation Classes for Curious School Students,1,https://www.tutorservices.in/competitive-exams/olympiad-preparation,Exam preparation,
/competitive-exams,competitive-exams.html,Competitive Exam Coaching in India | TutorServices,"Find competitive exam coaching for JEE, NEET, CUET and Olympiads with verified tutors, personalised study plans, regular tests and progress tracking.",Competitive Exam Coaching Built Around the Student’s Target,1,https://www.tutorservices.in/competitive-exams,Exam preparation,
/computer-courses,computer-courses.html,Computer Courses for Students | Practical Digital Skills,"Learn practical computer skills, MS Office, internet safety, coding basics, Python and digital productivity through beginner-friendly computer courses.","Computer Courses That Turn Technology into a Confident, Useful Skill",1,https://www.tutorservices.in/computer-courses,General service / commercial,
/contact,contact.html,Contact TutorServices | Request Tuition Support India,"Contact TutorServices by phone, email, WhatsApp or enquiry form to request a tutor, book a free demo or receive registration assistance today.",Let us help you find the right tutor.,1,https://www.tutorservices.in/contact,General service / commercial,
/courses,courses.html,Subject Tutors in India | Academic & Skill Courses,"Explore tutors for mathematics, science, languages, commerce, computer science, coding and skill-based courses for students across India today.",Find the right subject tutor faster.,1,https://www.tutorservices.in/courses,General service / commercial,
